============================================================================================================================================================================================================================
FOCUSED DEFENSE GENE EXTRACTION - CATEGORIES YOU REQUESTED
============================================================================================================================================================================================================================

HYPOTHETICAL PROTEINS: 212
DUF-DOMAIN PROTEINS: 59
GENERIC METHYLTRANSFERASES: 17
GENERIC NUCLEASES/ENDONUCLEASES: 36
HELIX-TURN-HELIX PROTEINS (non-transcriptional): 0
CLUSTERED DEFENSE ISLANDS: 110 genes

============================================================================================================================================================================================================================


SECTION 1: HYPOTHETICAL PROTEINS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | LENGTH  | CONTIG:COORD             | HYPOTHESIS                          | CONF  | SCORE
ACWYRP_RS09760     | hypothetical protein                                    | 330aa   | c000075.1:1225-1554      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09780     | hypothetical protein                                    | 312aa   | c000077.1:1078-1389      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09790     | hypothetical protein                                    | 562aa   | c000078.1:1-562          | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09820     | hypothetical protein                                    | 186aa   | c000081.1:579-764        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09850     | hypothetical protein                                    | 114aa   | c000083.1:1223-1336      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09860     | hypothetical protein                                    | 288aa   | c000084.1:1-288          | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09985     | hypothetical protein                                    | 447aa   | c000092.1:119-565        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09990     | hypothetical protein                                    | 607aa   | c000092.1:587-1193       | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS10010     | hypothetical protein                                    | 300aa   | c000094.1:287-586        | Hypothetical (Context TBD)          | L     | 1    

SECTION 2: DUF-DOMAIN PROTEINS (UNKNOWN FUNCTION)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | LENGTH  | CONTIG:COORD             | HYPOTHESIS                          | CONF  | SCORE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACWYRP_RS00515     | DUF1093 domain-containing protein                       | 396aa   | c000001.1:113827-114222  | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS00595     | DUF1831 domain-containing protein                       | 345aa   | c000001.1:129462-129806  | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS00800     | DUF1273 domain-containing protein                       | 567aa   | c000001.1:175297-175863  | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS00900     | DUF4422 domain-containing protein                       | 264aa   | c000002.1:1-264          | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS00920     | DUF6020 family protein                                  | 1938aa  | c000002.1:3385-5322      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS01070     | DUF7671 family protein                                  | 303aa   | c000002.1:35356-35658    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS01305     | DUF2513 domain-containing protein                       | 381aa   | c000002.1:76054-76434    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS01390     | DUF722 domain-containing protein                        | 393aa   | c000002.1:83528-83920    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS01440     | DUF1056 family protein                                  | 198aa   | c000002.1:90844-91041    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS01475     | DUF806 family protein                                   | 375aa   | c000002.1:95303-95677    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS01895     | DUF1304 domain-containing protein                       | 360aa   | c000003.1:85207-85566    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS01995     | DUF2075 domain-containing protein                       | 1206aa  | c000004.1:11491-12696    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02140     | DUF4044 domain-containing protein                       | 207aa   | c000004.1:44367-44573    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02145     | DUF3397 family protein                                  | 342aa   | c000004.1:44674-45015    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02295     | DUF368 domain-containing protein                        | 837aa   | c000004.1:79434-80270    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02360     | DUF3168 domain-containing protein                       | 396aa   | c000005.1:8465-8860      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02385     | DUF4355 domain-containing protein                       | 594aa   | c000005.1:10778-11371    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02430     | DUF4145 domain-containing protein                       | 603aa   | c000005.1:18860-19462    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02435     | DUF722 domain-containing protein                        | 417aa   | c000005.1:20255-20671    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02455     | DUF4145 domain-containing protein                       | 714aa   | c000005.1:21818-22531    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02530     | DUF2188 domain-containing protein                       | 225aa   | c000005.1:29959-30183    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS02850     | DUF2000 domain-containing protein                       | 408aa   | c000006.1:9871-10278     | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03130     | DUF805 domain-containing protein                        | 1113aa  | c000006.1:67472-68584    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03425     | DUF2785 domain-containing protein                       | 1005aa  | c000007.1:44216-45220    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03435     | DUF2969 family protein                                  | 210aa   | c000007.1:46564-46773    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03445     | DUF1146 domain-containing protein                       | 222aa   | c000007.1:47915-48136    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03690     | DUF951 domain-containing protein                        | 210aa   | c000008.1:29715-29924    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03700     | DUF1129 domain-containing protein                       | 699aa   | c000008.1:31071-31769    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03910     | DUF1054 family protein                                  | 594aa   | c000009.1:5184-5777      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS03945     | DUF1003 domain-containing protein                       | 744aa   | c000009.1:11614-12357    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS04420     | DUF1810 family protein                                  | 939aa   | c000010.1:47980-48918    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS04490     | DUF1934 domain-containing protein                       | 447aa   | c000011.1:4849-5295      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS04570     | DUF975 family protein                                   | 735aa   | c000011.1:23037-23771    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS04735     | DUF4097 family beta strand repeat-containing protein    | 1335aa  | c000012.1:7067-8401      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS04845     | DUF4097 family beta strand repeat-containing protein    | 978aa   | c000012.1:29006-29983    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS05070     | DUF1292 domain-containing protein                       | 300aa   | c000013.1:33424-33723    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS05230     | DUF4811 domain-containing protein                       | 678aa   | c000014.1:25198-25875    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS05625     | DUF3021 domain-containing protein                       | 411aa   | c000016.1:15201-15611    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS05700     | DUF2207 domain-containing protein                       | 1842aa  | c000016.1:30527-32368    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS06105     | DUF6681 family protein                                  | 792aa   | c000019.1:1442-2233      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS06390     | DUF956 family protein                                   | 360aa   | c000020.1:21883-22242    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS06410     | DUF2785 domain-containing protein                       | 804aa   | c000020.1:25238-26041    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS06420     | DUF3290 family protein                                  | 282aa   | c000020.1:27611-27892    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS06425     | DUF421 domain-containing protein                        | 639aa   | c000020.1:27889-28527    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS06905     | DUF1440 domain-containing protein                       | 504aa   | c000024.1:2524-3027      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS07005     | DUF948 domain-containing protein                        | 393aa   | c000024.1:19057-19449    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS07220     | DUF3796 domain-containing protein                       | 366aa   | c000025.1:25094-25459    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS07535     | DUF1361 domain-containing protein                       | 651aa   | c000028.1:3227-3877      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS07625     | DUF4422 domain-containing protein                       | 507aa   | c000028.1:22834-23340    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS07725     | DUF805 domain-containing protein                        | 390aa   | c000029.1:11000-11389    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS07770     | DUF3042 family protein                                  | 183aa   | c000029.1:19932-20114    | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS08600     | DUF1694 domain-containing protein                       | 375aa   | c000040.1:1003-1377      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS09020     | DUF1345 domain-containing protein                       | 645aa   | c000047.1:229-873        | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS09060     | DUF1593 domain-containing protein                       | 981aa   | c000047.1:6634-7614      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS09270     | DUF4298 domain-containing protein                       | 297aa   | c000053.1:1774-2070      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS09325     | DUF4352 domain-containing protein                       | 594aa   | c000055.1:917-1510       | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS09345     | DUF2075 domain-containing protein                       | 1170aa  | c000055.1:3501-4670      | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS09995     | DUF5388 domain-containing protein                       | 375aa   | c000093.1:104-478        | DUF Domain (Unknown)                | L     | 2    
ACWYRP_RS10100     | DUF6290 family protein                                  | 216aa   | c000105.1:376-591        | DUF Domain (Unknown)                | L     | 2    

SECTION 3: GENERIC METHYLTRANSFERASES (NON-RIBOSOMAL)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | LENGTH  | CONTIG:COORD             | HYPOTHESIS                          | CONF  | SCORE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACWYRP_RS06945     | class I SAM-dependent DNA methyltransferase             | 753aa   | c000024.1:7543-8295      | RM Methyltransferase                | H     | 12   
ACWYRP_RS08910     | DNA-methyltransferase                                   | 432aa   | c000045.1:6803-7234      | RM Methyltransferase                | H     | 12   
ACWYRP_RS00125     | SAM-dependent methyltransferase                         | 1197aa  | c000001.1:27560-28756    | RM Methyltransferase                | H     | 7    
ACWYRP_RS00135     | serine hydroxymethyltransferase                         | 1233aa  | c000001.1:29429-30661    | RM Methyltransferase                | H     | 7    
ACWYRP_RS01025     | THUMP domain-containing class I SAM-dependent RNA met   | 1134aa  | c000002.1:26179-27312    | General metabolism enzymes          | H     | 7    
ACWYRP_RS02255     | methylated-DNA--[protein]-cysteine S-methyltransferas   | 483aa   | c000004.1:72303-72785    | General metabolism enzymes          | H     | 7    
ACWYRP_RS02300     | methyltransferase domain-containing protein             | 705aa   | c000004.1:80311-81015    | RM Methyltransferase                | H     | 7    
ACWYRP_RS03090     | RsmE family RNA methyltransferase                       | 738aa   | c000006.1:57624-58361    | RM Methyltransferase                | H     | 7    
ACWYRP_RS03375     | class I SAM-dependent methyltransferase                 | 636aa   | c000007.1:38186-38821    | RM Methyltransferase                | H     | 7    
ACWYRP_RS04045     | class I SAM-dependent methyltransferase                 | 990aa   | c000009.1:32608-33597    | RM Methyltransferase                | H     | 7    
ACWYRP_RS04865     | bifunctional demethylmenaquinone methyltransferase/2-   | 711aa   | c000012.1:33687-34397    | RM Methyltransferase                | H     | 7    
ACWYRP_RS06300     | peptide chain release factor N(5)-glutamine methyltra   | 993aa   | c000020.1:5180-6172      | Translation initiation/elongation   | H     | 7    
ACWYRP_RS06815     | TlyA family RNA methyltransferase                       | 837aa   | c000023.1:16397-17233    | RM Methyltransferase                | H     | 7    
ACWYRP_RS06980     | TrmH family RNA methyltransferase                       | 774aa   | c000024.1:13227-14000    | RM Methyltransferase                | H     | 7    
ACWYRP_RS08005     | 5-methyltetrahydropteroyltriglutamate--homocysteine S   | 2301aa  | c000032.1:5635-7935      | General metabolism enzymes          | H     | 7    
ACWYRP_RS08035     | 5-methyltetrahydropteroyltriglutamate--homocysteine S   | 1128aa  | c000032.1:13417-14544    | General metabolism enzymes          | H     | 7    
ACWYRP_RS08145     | class I SAM-dependent methyltransferase                 | 759aa   | c000034.1:1037-1795      | RM Methyltransferase                | H     | 7    

SECTION 4: GENERIC NUCLEASES/ENDONUCLEASES
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | LENGTH  | CONTIG:COORD             | HYPOTHESIS                          | CONF  | SCORE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACWYRP_RS02015     | type I restriction endonuclease subunit R               | 2862aa  | c000004.1:17030-19891    | Nuclease/Endonuclease               | H     | 23   
ACWYRP_RS02025     | restriction endonuclease subunit S                      | 549aa   | c000004.1:21452-22000    | Nuclease/Endonuclease               | H     | 23   
ACWYRP_RS02030     | restriction endonuclease subunit S                      | 609aa   | c000004.1:22063-22671    | Nuclease/Endonuclease               | H     | 23   
ACWYRP_RS02045     | restriction endonuclease subunit S                      | 1122aa  | c000004.1:25307-26428    | Nuclease/Endonuclease               | H     | 23   
ACWYRP_RS02250     | helicase-exonuclease AddAB subunit AddA                 | 3693aa  | c000004.1:68560-72252    | Nuclease/Endonuclease               | H     | 10   
ACWYRP_RS00360     | DNA/RNA non-specific endonuclease                       | 1176aa  | c000001.1:74189-75364    | Nuclease/Endonuclease               | H     | 8    
ACWYRP_RS01425     | HNH endonuclease                                        | 450aa   | c000002.1:87687-88136    | Nuclease/Endonuclease               | H     | 8    
ACWYRP_RS03245     | DNA/RNA non-specific endonuclease                       | 870aa   | c000007.1:13718-14587    | Nuclease/Endonuclease               | H     | 8    
ACWYRP_RS06645     | DNA mismatch repair endonuclease MutL                   | 1947aa  | c000022.1:15012-16958    | Nuclease/Endonuclease               | H     | 8    
ACWYRP_RS07035     | endonuclease MutS2                                      | 2403aa  | c000024.1:22544-24946    | Nuclease/Endonuclease               | H     | 8    
ACWYRP_RS00250     | ribonuclease HII                                        | 762aa   | c000001.1:54190-54951    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS00420     | 3'-5' exoribonuclease YhaM family protein               | 951aa   | c000001.1:89841-90791    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS00995     | exonuclease domain-containing protein                   | 2394aa  | c000002.1:19625-22018    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS01040     | ribonuclease HI family protein                          | 384aa   | c000002.1:29274-29657    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS01360     | putative HNHc nuclease                                  | 702aa   | c000002.1:80880-81581    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS01370     | RusA family crossover junction endodeoxyribonuclease    | 432aa   | c000002.1:81875-82306    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS01980     | 3'-5' exonuclease                                       | 534aa   | c000004.1:9108-9641      | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS01985     | exodeoxyribonuclease III                                | 819aa   | c000004.1:9677-10495     | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS02245     | PD-(D/E)XK nuclease family protein                      | 3480aa  | c000004.1:65081-68560    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS02280     | ribonuclease Z                                          | 957aa   | c000004.1:75878-76834    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS02285     | single-stranded-DNA-specific exonuclease RecJ           | 1968aa  | c000004.1:76821-78788    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS02470     | RusA family crossover junction endodeoxyribonuclease    | 426aa   | c000005.1:23099-23524    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS02475     | putative HNHc nuclease                                  | 702aa   | c000005.1:23631-24332    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS03155     | GIY-YIG nuclease family protein                         | 264aa   | c000006.1:71991-72254    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS05865     | ribonuclease J                                          | 1830aa  | c000017.1:23673-25502    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS05955     | ribonuclease P protein component                        | 351aa   | c000018.1:4348-4698      | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS06695     | ribonuclease III                                        | 711aa   | c000022.1:25427-26137    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS06710     | ribonuclease J1                                         | 1683aa  | c000023.1:634-2316       | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS06750     | ribonuclease M5                                         | 570aa   | c000023.1:6214-6783      | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS06800     | exodeoxyribonuclease VII large subunit                  | 1278aa  | c000023.1:13999-15276    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS06805     | exodeoxyribonuclease VII small subunit                  | 225aa   | c000023.1:15269-15493    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS06990     | ribonuclease R                                          | 2325aa  | c000024.1:14420-16744    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS07000     | ribonuclease Y                                          | 1557aa  | c000024.1:17356-18912    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS07015     | ribonuclease HIII                                       | 912aa   | c000024.1:20000-20911    | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS07650     | PD-(D/E)XK nuclease family protein                      | 759aa   | c000029.1:3391-4149      | Nuclease/Endonuclease               | M     | 6    
ACWYRP_RS07875     | Mini-ribonuclease 3                                     | 408aa   | c000030.1:14496-14903    | Nuclease/Endonuclease               | M     | 6    

============================================================================================================================================================================================================================
SECTION 6: CLUSTERED DEFENSE ISLANDS
============================================================================================================================================================================================================================


NZ_JBSROM010000002.1 (49 genes)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | START-END       | LENGTH  | HYPOTHESIS                          | CONF 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACWYRP_RS00900     | DUF4422 domain-containing protein                       | 1-264           | 264aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS00920     | DUF6020 family protein                                  | 3385-5322       | 1938aa  | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS00995     | exonuclease domain-containing protein                   | 19625-22018     | 2394aa  | Hypothetical/uncharacterized prot   | M    
ACWYRP_RS01000     | hypothetical protein                                    | 22090-22617     | 528aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01020     | hypothetical protein                                    | 25875-26156     | 282aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01025     | THUMP domain-containing class I SAM-dependent RNA met   | 26179-27312     | 1134aa  | General metabolism enzymes          | H    
ACWYRP_RS01040     | ribonuclease HI family protein                          | 29274-29657     | 384aa   | Sugar-specific metabolism           | M    
ACWYRP_RS01070     | DUF7671 family protein                                  | 35356-35658     | 303aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01215     | hypothetical protein                                    | 64729-64941     | 213aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01230     | hypothetical protein                                    | 67477-68115     | 639aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01245     | hypothetical protein                                    | 70088-70606     | 519aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01255     | site-specific integrase                                 | 70932-71999     | 1068aa  | Phage/integrase/mobile elements     | M    
ACWYRP_RS01260     | hypothetical protein                                    | 72124-72375     | 252aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01265     | hypothetical protein                                    | 72449-73066     | 618aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01270     | hypothetical protein                                    | 73259-73561     | 303aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01285     | hypothetical protein                                    | 74627-74851     | 225aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01290     | hypothetical protein                                    | 74866-75060     | 195aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01295     | phage antirepressor                                     | 75066-75863     | 798aa   | Phage/integrase/mobile elements     | H    
ACWYRP_RS01300     | hypothetical protein                                    | 75874-76068     | 195aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01305     | DUF2513 domain-containing protein                       | 76054-76434     | 381aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01310     | hypothetical protein                                    | 76521-76688     | 168aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01315     | hypothetical protein                                    | 76685-77116     | 432aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01320     | hypothetical protein                                    | 77118-77342     | 225aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01330     | hypothetical protein                                    | 77617-78018     | 402aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01355     | hypothetical protein                                    | 80704-80880     | 177aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01360     | putative HNHc nuclease                                  | 80880-81581     | 702aa   | Uncategorized                       | M    
ACWYRP_RS01365     | hypothetical protein                                    | 81698-81874     | 177aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01370     | RusA family crossover junction endodeoxyribonuclease    | 81875-82306     | 432aa   | Sugar-specific metabolism           | M    
ACWYRP_RS01375     | hypothetical protein                                    | 82303-82746     | 444aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01380     | hypothetical protein                                    | 82743-83012     | 270aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01385     | hypothetical protein                                    | 83009-83194     | 186aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01390     | DUF722 domain-containing protein                        | 83528-83920     | 393aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01395     | hypothetical protein                                    | 84043-84213     | 171aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01400     | hypothetical protein                                    | 84200-85177     | 978aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01405     | hypothetical protein                                    | 85498-85662     | 165aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01415     | hypothetical protein                                    | 86904-87107     | 204aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01420     | hypothetical protein                                    | 87322-87651     | 330aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01425     | HNH endonuclease                                        | 87687-88136     | 450aa   | Uncategorized                       | H    
ACWYRP_RS01430     | phage terminase small subunit P27 family                | 88516-88983     | 468aa   | Phage/integrase/mobile elements     | H    
ACWYRP_RS01440     | DUF1056 family protein                                  | 90844-91041     | 198aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01445     | phage portal protein                                    | 91044-92210     | 1167aa  | Phage/integrase/mobile elements     | H    
ACWYRP_RS01455     | phage major capsid protein                              | 92922-94121     | 1200aa  | Phage/integrase/mobile elements     | H    
ACWYRP_RS01465     | phage head closure protein                              | 94502-94846     | 345aa   | Phage/integrase/mobile elements     | H    
ACWYRP_RS01470     | hypothetical protein                                    | 94839-95306     | 468aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01475     | DUF806 family protein                                   | 95303-95677     | 375aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01480     | phage tail protein                                      | 95681-96316     | 636aa   | Phage/integrase/mobile elements     | H    
ACWYRP_RS01485     | phage tail tube assembly chaperone                      | 96393-96761     | 369aa   | Chaperones/protein folding          | H    
ACWYRP_RS01490     | hypothetical protein                                    | 96842-96985     | 144aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS01500     | phage distal tail protein domain-containing protein     | 101540-101686   | 147aa   | Phage/integrase/mobile elements     | H    

NZ_JBSROM010000004.1 (19 genes)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | START-END       | LENGTH  | HYPOTHESIS                          | CONF 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACWYRP_RS01980     | 3'-5' exonuclease                                       | 9108-9641       | 534aa   | Uncategorized                       | M    
ACWYRP_RS01985     | exodeoxyribonuclease III                                | 9677-10495      | 819aa   | Sugar-specific metabolism           | M    
ACWYRP_RS01995     | DUF2075 domain-containing protein                       | 11491-12696     | 1206aa  | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02015     | type I restriction endonuclease subunit R               | 17030-19891     | 2862aa  | Restriction-modification (Type I)   | H    
ACWYRP_RS02025     | restriction endonuclease subunit S                      | 21452-22000     | 549aa   | Restriction-modification (Type I)   | H    
ACWYRP_RS02030     | restriction endonuclease subunit S                      | 22063-22671     | 609aa   | Restriction-modification (Type I)   | H    
ACWYRP_RS02045     | restriction endonuclease subunit S                      | 25307-26428     | 1122aa  | Restriction-modification (Type I)   | H    
ACWYRP_RS02140     | DUF4044 domain-containing protein                       | 44367-44573     | 207aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02145     | DUF3397 family protein                                  | 44674-45015     | 342aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02225     | hypothetical protein                                    | 61562-61762     | 201aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02235     | hypothetical protein                                    | 62421-64202     | 1782aa  | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02245     | PD-(D/E)XK nuclease family protein                      | 65081-68560     | 3480aa  | Hypothetical/uncharacterized prot   | M    
ACWYRP_RS02250     | helicase-exonuclease AddAB subunit AddA                 | 68560-72252     | 3693aa  | Uncategorized                       | H    
ACWYRP_RS02255     | methylated-DNA--[protein]-cysteine S-methyltransferas   | 72303-72785     | 483aa   | General metabolism enzymes          | H    
ACWYRP_RS02280     | ribonuclease Z                                          | 75878-76834     | 957aa   | Sugar-specific metabolism           | M    
ACWYRP_RS02285     | single-stranded-DNA-specific exonuclease RecJ           | 76821-78788     | 1968aa  | Homologous recombination            | M    
ACWYRP_RS02295     | DUF368 domain-containing protein                        | 79434-80270     | 837aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02300     | methyltransferase domain-containing protein             | 80311-81015     | 705aa   | General metabolism enzymes          | H    
ACWYRP_RS02305     | hypothetical protein                                    | 80999-81319     | 321aa   | Hypothetical/uncharacterized prot   | L    

NZ_JBSROM010000005.1 (42 genes)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | START-END       | LENGTH  | HYPOTHESIS                          | CONF 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACWYRP_RS02330     | phage tail spike protein                                | 1-2488          | 2488aa  | Phage/integrase/mobile elements     | H    
ACWYRP_RS02340     | phage tail tape measure protein                         | 3310-7032       | 3723aa  | Phage/integrase/mobile elements     | H    
ACWYRP_RS02345     | hypothetical protein                                    | 7033-7365       | 333aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02355     | phage major tail protein, TP901-1 family                | 7870-8451       | 582aa   | Phage/integrase/mobile elements     | H    
